description,record_tracking_list_display_format_id,age_group_desc,record_tracking_list_event_id,gender,distance,stroke_code,course_code,RANK,swim_time,individual_time_id,relay_time_id,preferred_name,first_name,last_name,lsc_id,club_code,team_code,ind_meet_name,rel_meet_name,country_code,location,location_country_code,swim_date,session_desc,relay_lead_yn,bios_display_swap_first_last_name_yn,disable_name_swapping_yn
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,82,1/1/1900 12:00:26 AM,98818079,,,Braeden,Knight,FL,EAJ,,2015 FL Swimming Summer FLAGS,,   ,Sarasota,,7/19/2015,Prelim,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,84,1/1/1900 12:00:26 AM,,,,Daryl,Northup,US,UN,,,,,,,1/1/1996,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,85,1/1/1900 12:00:26 AM,78014774,,Sam,Samuel,Smith,MI,WOSC,,2013 LE Central Zone 14 & U ,,,Geneva ,,8/2/2013,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,85,1/1/1900 12:00:26 AM,121747765,,,Andrew,Billitto,FL,WFLA,,2017 MS Southern Zones Age Group,,   ,Tupelo,,8/5/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,87,1/1/1900 12:00:26 AM,40770327,,Adam,Adam,Thomas,VA,PACK,,2009 SZ Age Group Championship,,,,,7/28/2009,Prelim,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,87,1/1/1900 12:00:26 AM,67486237,,Matthew,Matthew,Lee,CA,AZOT,,2012 CA SCS/RAA Junior Olympic,,,Riverside ,,7/25/2012,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,87,1/1/1900 12:00:26 AM,110550159,,,Zachary,Washburn,IE,MRA,,2016 UT Western Zone Age Group,,   ,Kearns,,8/13/2016,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,87,1/1/1900 12:00:26 AM,143680599,,Joseph,Joseph,Grebner,SD,ASC,,2019 SD Long Course State Champs,,   ,Sioux Falls,,7/27/2019,,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,91,1/1/1900 12:00:26 AM,,,Steven,Steven,Armstrong,MS,UN,,,,,,,1/1/1999,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,92,1/1/1900 12:00:26 AM,78012929,,Jacob,Jacob,Destrampe,IN,FRST,,2013 LE Central Zone 14 & U ,,,Geneva,,8/2/2013,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,92,1/1/1900 12:00:26 AM,110516842,,Braeden,Braeden,Haughey,NC,TAC,,2016 NC Southern Zone Age Grou,,   ,Cary,,8/6/2016,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,94,1/1/1900 12:00:26 AM,,,,Grant,Wieczorek,IN,CSC,,,,,,,1/1/1998,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,94,1/1/1900 12:00:26 AM,,,Tim,Timothy,Nguyen,PC,WEST,,,,,,,1/1/1998,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,94,1/1/1900 12:00:26 AM,88393853,,Blake,Blake,Reynolds,GA,UN,,2014 ST AAAA Southern Zones Ch,,   ,San Antonio,,7/29/2014,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,94,1/1/1900 12:00:26 AM,121786233,,Kris,Kristopher,Lawson,PV,NCAP,,2017 VA Eastern Zone LC Champi,,   ,Richmond,,8/12/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,98,1/1/1900 12:00:26 AM,,,,Philip,Weyman,OZ,CSP,,,,,,,1/1/1988,,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,98,1/1/1900 12:00:26 AM,49099070,,Andrew,Andrew,Tang,GA,LINS,,2010 GA Southern Zone Championship,,,Atlanta,,7/27/2010,Final,N,,N
All Time Top 100 Age Group Times,1,11-12,182,M,50,FR,LCM,98,1/1/1900 12:00:26 AM,99148837,,Parker,Parker,Nolan,IL,CWAC,,2015 IL LC Age Group Champions,,   ,Pleasant Prairie,,7/26/2015,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,1,1/1/1900 12:00:23 AM,,,,Isaac,Dominguez,MV,WKSC,,,,   ,Dodge City,,6/29/2019,,N,N,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,2,1/1/1900 12:00:23 AM,81930725,,Michael,Michael,Andrew,SI,RPC,,2014 Pro Series - Austin,,,Austin,,1/17/2014,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,3,1/1/1900 12:00:23 AM,58274672,,,Caeleb,Dressel,FL,BSS,,2011 Summer Junior Nats,,   ,Palo Alto,,8/8/2011,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,4,1/1/1900 12:00:23 AM,1078062,,,Jason,Cobb,OH,WTRC,,NAG Records,,,,,1/1/1997,,N,,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,5,1/1/1900 12:00:23 AM,,,Ryan,Ryan,Hoffer,PC,SAC,,,,,Phoenix ,,7/5/2013,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,5,1/1/1900 12:00:23 AM,77523282,,,Jack,Blake,SE,SAC,,2013 OR Speedo Western Section LC,,,Gresham,,7/16/2013,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,7,1/1/1900 12:00:23 AM,,,Noel,Noel,Strauss,AR,LRAD,,,,,,,1/1/1987,,N,,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,7,1/1/1900 12:00:23 AM,,,Ronald,Ronald,Dalmacio,CA,UN,,,,   ,Mission Viejo,,5/5/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,9,1/1/1900 12:00:23 AM,121659045,,Jack,John,Alexy,NJ,SHY,,2017 NC AP LC Y Nationals,,   ,Greensboro,,7/31/2017,,N,N,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,10,1/1/1900 12:00:23 AM,143336045,,,Andrew,Billitto,FL,WFLA,,2019 FL Summer Age Group Championships,,   ,Orlando,,7/21/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,11,1/1/1900 12:00:24 AM,132216584,,Rafael,Kaihan,Gu,CA,ROSE,,2018 CA  Los Angeles Invite,,   ,Los Angeles,,7/12/2018,,N,N,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,12,1/1/1900 12:00:24 AM,,,Brian,Brian,Jacobson,US,UN,,,,,,,1/1/1988,,N,,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,12,1/1/1900 12:00:24 AM,147043335,,Diggory,Diggory,Dillingham,IA,EISF,,2019 West Speedo Winter Junior,,   ,Federal Way,USA,12/10/2019,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,14,1/1/1900 12:00:24 AM,46785436,,Brandon,Brandon,Coggin,SE,AUB,,2010 SE Orange and Blue Classic,,,Auburn,,4/23/2010,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,14,1/1/1900 12:00:24 AM,121439446,,Parker,Parker,Nolan,IL,CWAC,,2017 IL LC Age Group Champions,,   ,Pleasant Prairie,,7/30/2017,Final,N,N,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,16,1/1/1900 12:00:24 AM,40783053,,,Andrew,Jovanovic,IL,WILD,,2009 IL Speedo Age Group Cham,,,,,7/31/2009,Final,N,,N
All Time Top 100 Age Group Times,1,13-14,199,M,50,FR,LCM,16,1/1/1900 12:00:24 AM,110419389,,,David,Curtiss,NJ,THY,,2016 MR Eastern Zone LC Championship,,   ,East Meadow,,8/6/2016,Final,N,N,N
